Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,10,Sun,1925-11-22,W,Pottsville Maroons,,Cleveland Bulldogs,boxscore,24,6,0,0,0,0
2,4,Sun,1926-10-10,W,Pottsville Maroons,,Dayton Triangles,boxscore,24,6,0,0,0,0
3,6,Sun,1926-10-24,W,Chicago Bears,,Duluth Eskimos,boxscore,24,6,0,0,0,0
4,11,Sun,1938-11-20,W,Chicago Bears,@,Brooklyn Dodgers,boxscore,24,6,406,1,155,1
5,10,Sun,1946-11-24,W,Chicago Cardinals,@,Green Bay Packers,boxscore,24,6,349,6,155,4
6,1,Sun,1952-09-28,W,New York Giants,@,Dallas Texans,boxscore,24,6,337,1,206,1
7,3,Sun,1968-09-29,W,Los Angeles Rams,@,Cleveland Browns,boxscore,24,6,364,2,129,3
8,7,Sun,1969-10-26,W,Miami Dolphins,,Buffalo Bills,boxscore,24,6,353,4,276,4
9,13,Sun,1970-12-13,W,Washington Redskins,,Philadelphia Eagles,boxscore,24,6,316,1,206,1
10,2,Sun,1976-09-19,W,Dallas Cowboys,@,New Orleans Saints,boxscore,24,6,423,4,163,1
11,9,Sun,1977-11-13,W,Los Angeles Rams,@,Green Bay Packers,boxscore,24,6,336,2,339,3
12,5,Sun,1979-09-30,W,Kansas City Chiefs,@,Seattle Seahawks,boxscore,24,6,230,1,312,2
13,16,Sun,1983-12-18,W,Seattle Seahawks,,New England Patriots,boxscore,24,6,368,0,259,3
14,12,Sun,1985-11-24,W,Cleveland Browns,,Cincinnati Bengals,boxscore,24,6,283,0,226,1
15,13,Sun,1985-12-01,W,Seattle Seahawks,,Kansas City Chiefs,boxscore,24,6,337,3,201,3
16,16,Sun,1987-12-27,W,Indianapolis Colts,,Tampa Bay Buccaneers,boxscore,24,6,472,1,232,1
17,4,Sun,1988-09-25,W,Chicago Bears,@,Green Bay Packers,boxscore,24,6,358,3,233,3
18,10,Sun,1990-11-11,W,San Francisco 49ers,@,Dallas Cowboys,boxscore,24,6,388,2,158,2
19,17,Mon,1992-12-28,W,San Francisco 49ers,,Detroit Lions,boxscore,24,6,361,0,227,1
20,3,Mon,1996-09-16,W,Pittsburgh Steelers,,Buffalo Bills,boxscore,24,6,382,1,185,4
21,11,Sun,1997-11-09,W,Dallas Cowboys,,Arizona Cardinals,boxscore,24,6,329,1,274,1
22,10,Sun,1999-11-14,W,New Orleans Saints,,San Francisco 49ers,boxscore,24,6,365,0,234,1
23,7,Sun,2000-10-15,W,New Orleans Saints,,Carolina Panthers,boxscore,24,6,397,3,141,2
24,1,Sun,2001-09-09,W,New Orleans Saints,@,Buffalo Bills,boxscore,24,6,301,0,251,3
25,14,Sun,2002-12-08,W,Houston Texans,@,Pittsburgh Steelers,boxscore,24,6,47,1,422,5
26,9,Sun,2005-11-06,W,New York Giants,@,San Francisco 49ers,boxscore,24,6,344,0,138,1
27,13,Sun,2005-12-04,W,Carolina Panthers,,Atlanta Falcons,boxscore,24,6,306,1,259,2
28,6,Mon,2011-10-17,W,New York Jets,,Miami Dolphins,boxscore,24,6,296,1,308,3
29,7,Sun,2013-10-20,W,San Diego Chargers,@,Jacksonville Jaguars,boxscore,24,6,434,0,353,1
30,7,Sun,2014-10-19,W,Jacksonville Jaguars,,Cleveland Browns,boxscore,24,6,336,3,266,3
31,7,Sun,2015-10-25,W,St. Louis Rams,,Cleveland Browns,boxscore,24,6,308,1,364,4
32,12,Sun,2015-11-29,W,Houston Texans,,New Orleans Saints,boxscore,24,6,362,1,268,1
33,17,Sun,2017-01-01,W,Denver Broncos,,Oakland Raiders,boxscore,24,6,349,1,221,3
34,1,Sun,2018-09-09,W,Washington Redskins,@,Arizona Cardinals,boxscore,24,6,429,1,213,2
35,9,Sun,2021-11-07,W,New England Patriots,@,Carolina Panthers,boxscore,24,6,273,2,240,3
36,7,Sun,2022-10-23,W,Dallas Cowboys,,Detroit Lions,boxscore,24,6,330,1,312,5
