Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,4,Sun,1921-10-16,W,Rock Island Independents,@,Chicago Cardinals,boxscore,14,7,0,0,0,0
2,8,Sun,1921-11-13,W,Green Bay Packers,,Hammond Pros,boxscore,14,7,0,0,0,0
3,7,Sun,1923-11-11,W,St. Louis All-Stars,,Oorang Indians,boxscore,14,7,0,0,0,0
4,9,Sun,1923-11-25,W,Chicago Bears,,Hammond Pros,boxscore,14,7,0,0,0,0
5,2,Sun,1925-09-27,W,Canton Bulldogs,,Rochester Jeffersons,boxscore,14,7,0,0,0,0
6,3,Sun,1925-10-04,W,Akron Pros,,Kansas City Cowboys,boxscore,14,7,0,0,0,0
7,12,Sat,1925-12-05,W,Chicago Bears,@,Frankford Yellow Jackets,boxscore,14,7,0,0,0,0
8,11,Sun,1927-11-27,W,Providence Steam Roller,,New York Yankees,boxscore,14,7,0,0,0,0
9,10,Sun,1928-11-25,W,Detroit Wolverines,@,Chicago Bears,boxscore,14,7,0,0,0,0
10,2,Sat,1929-09-28,W,Frankford Yellow Jackets,,Dayton Triangles,boxscore,14,7,0,0,0,0
11,4,Sun,1929-10-13,W,Minneapolis Red Jackets,,Chicago Cardinals,boxscore,14,7,0,0,0,0
12,4,Sun,1930-10-05,W,Green Bay Packers,,New York Giants,boxscore,14,7,0,0,0,0
13,6,Sat,1930-10-18,W,Brooklyn Dodgers,@,Frankford Yellow Jackets,boxscore,14,7,0,0,0,0
14,8,Sun,1931-11-01,W,Chicago Cardinals,@,Brooklyn Dodgers,boxscore,14,7,0,0,0,0
15,2,Sun,1933-09-24,W,Chicago Bears,@,Green Bay Packers,boxscore,14,7,0,0,0,0
16,11,Sun,1934-11-18,W,Boston Redskins,@,Philadelphia Eagles,boxscore,14,7,0,0,0,0
17,5,Wed,1936-10-14,W,Detroit Lions,@,Brooklyn Dodgers,boxscore,14,7,276,0,54,0
18,8,Sun,1936-11-01,W,New York Giants,,Detroit Lions,boxscore,14,7,201,0,254,4
19,11,Sun,1936-11-22,W,Detroit Lions,@,Chicago Cardinals,boxscore,14,7,0,0,0,0
20,12,Sun,1936-11-29,W,Chicago Cardinals,,Chicago Bears,boxscore,14,7,0,0,0,0
21,2,Sun,1937-09-12,W,Chicago Cardinals,@,Green Bay Packers,boxscore,14,7,0,0,0,0
22,5,Sun,1938-10-09,W,Cleveland Rams,,Chicago Bears,boxscore,14,7,0,0,0,0
23,11,Sun,1938-11-20,W,Philadelphia Eagles,,Pittsburgh Pirates,boxscore,14,7,0,0,0,0
24,12,Thu,1938-11-24,W,Detroit Lions,,Chicago Bears,boxscore,14,7,242,0,209,0
25,5,Sun,1939-10-08,W,New York Giants,@,Pittsburgh Pirates,boxscore,14,7,183,2,246,6
26,9,Sun,1940-11-03,W,Chicago Bears,,Green Bay Packers,boxscore,14,7,246,4,208,5
27,3,Sun,1941-09-21,W,Brooklyn Dodgers,,Detroit Lions,boxscore,14,7,312,2,142,3
28,11,Sun,1941-11-16,W,Pittsburgh Steelers,,Brooklyn Dodgers,boxscore,14,7,205,0,278,3
29,3,Sun,1942-09-27,W,New York Giants,@,Washington Redskins,boxscore,14,7,51,0,233,3
30,10,Sun,1942-11-15,W,Washington Redskins,@,New York Giants,boxscore,14,7,329,5,100,1
31,10,Sun,1942-11-15,W,Philadelphia Eagles,@,Brooklyn Dodgers,boxscore,14,7,320,1,259,4
