Rk,Week,Day,Date,,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,10,Sun,2001-11-18,W,Philadelphia Eagles,@,Dallas Cowboys,boxscore,36,3,227,1,213,4
1,Division,Sun,2009-01-11,W,Philadelphia Eagles,@,New York Giants,boxscore,23,11,276,2,307,3
1,10,Mon,2010-11-15,W,Philadelphia Eagles,@,Washington Redskins,boxscore,59,28,592,0,375,3
1,16,Sun,2013-12-22,W,Philadelphia Eagles,,Chicago Bears,boxscore,54,11,514,1,257,2
1,10,Sun,1952-11-30,W,Pittsburgh Steelers,,New York Giants,boxscore,63,7,415,5,162,9
1,4,Sun,1954-10-17,W,Pittsburgh Steelers,,Cleveland Browns,boxscore,55,27,441,1,436,8
1,13,Sun,1957-12-22,W,Pittsburgh Steelers,@,Chicago Cardinals,boxscore,27,2,297,0,96,4
1,10,Mon,1975-11-24,W,Pittsburgh Steelers,@,Houston Oilers,boxscore,32,9,367,5,257,4
1,Conf. Champ,Sun,1979-01-07,W,Pittsburgh Steelers,,Houston Oilers,boxscore,34,5,379,5,142,9
1,6,Sun,1979-10-07,W,Pittsburgh Steelers,@,Cleveland Browns,boxscore,51,35,522,1,458,5
1,8,Sun,1988-10-23,W,Pittsburgh Steelers,,Denver Broncos,boxscore,39,21,386,2,323,4
1,8,Sun,2014-10-26,W,Pittsburgh Steelers,,Indianapolis Colts,boxscore,51,34,639,2,448,2
1,2,Sun,2015-09-20,W,Pittsburgh Steelers,,San Francisco 49ers,boxscore,43,18,453,0,409,1
1,9,Thu,1926-11-11,W,Providence Steam Roller,,Canton Bulldogs,boxscore,21,2,0,0,0,0
1,9,Sun,1923-11-25,W,Racine Legion,@,Chicago Cardinals,boxscore,10,4,0,0,0,0
1,6,Fri,1964-10-16,T,Oakland Raiders,@,Boston Patriots,boxscore,43,43,431,2,495,4
1,13,Thu,1967-11-23,W,Oakland Raiders,@,Kansas City Chiefs,boxscore,44,22,459,2,192,4
1,2,Sun,1968-09-15,W,Oakland Raiders,@,Buffalo Bills,boxscore,48,6,411,1,191,1
1,11,Sun,1968-11-17,W,Oakland Raiders,,New York Jets,boxscore,43,32,437,4,413,1
1,14,Sun,1966-12-11,W,Pittsburgh Steelers,@,New York Giants,boxscore,47,28,392,1,310,2
1,15,Sun,1966-12-18,W,Pittsburgh Steelers,@,Atlanta Falcons,boxscore,57,33,458,1,370,5
1,12,Sun,1974-12-01,W,Oakland Raiders,,New England Patriots,boxscore,41,26,380,3,371,4
1,12,Sun,1976-11-28,W,Oakland Raiders,,Tampa Bay Buccaneers,boxscore,49,16,486,3,218,3
1,7,Sun,1979-10-14,W,Oakland Raiders,,Atlanta Falcons,boxscore,50,19,347,0,434,6
1,9,Thu,1979-10-25,W,Oakland Raiders,,San Diego Chargers,boxscore,45,22,339,0,380,3
1,8,Sun,1984-10-21,W,Los Angeles Raiders,@,San Diego Chargers,boxscore,44,37,498,3,464,5
1,4,Sun,2002-09-29,W,Oakland Raiders,,Tennessee Titans,boxscore,52,25,464,1,430,4
1,15,Sun,2004-12-19,W,Oakland Raiders,,Tennessee Titans,boxscore,40,35,415,1,527,2
1,15,Sun,2010-12-19,W,Oakland Raiders,,Denver Broncos,boxscore,39,23,502,3,235,1
1,9,Sun,1948-11-14,W,Los Angeles Rams,@,New York Giants,boxscore,52,37,390,5,233,4
1,12,Sun,1949-12-11,W,Los Angeles Rams,,Washington Redskins,boxscore,53,27,584,4,378,6
1,6,Sun,1950-10-22,W,Los Angeles Rams,,Baltimore Colts,boxscore,70,27,535,4,423,6
1,7,Sun,1950-10-29,W,Los Angeles Rams,,Detroit Lions,boxscore,65,24,494,1,213,7
1,1,Fri,1951-09-28,W,Los Angeles Rams,,New York Yanks,boxscore,54,14,722,5,111,0
1,11,Sat,1953-12-05,W,Los Angeles Rams,,Baltimore Colts,boxscore,45,2,334,4,70,3
